iter	Passed	Remaining
0	62	62803
1	63	31548
2	63	21204
3	64	15948
4	64	12851
5	65	10771
6	65	9250
7	65	8139
8	65	7262
9	66	6577
10	66	5987
11	67	5530
12	67	5132
13	67	4776
14	68	4487
15	68	4220
16	68	3985
17	69	3781
18	69	3598
19	70	3435
20	70	3275
21	70	3141
22	71	3018
23	71	2904
24	71	2800
25	71	2695
26	72	2606
27	72	2528
28	73	2451
29	73	2374
30	73	2306
31	74	2246
32	74	2194
33	75	2144
34	75	2094
35	76	2056
36	80	2084
37	81	2063
38	82	2030
39	82	1989
40	83	1944
41	83	1913
42	84	1876
43	84	1845
44	85	1813
45	85	1779
46	87	1765
47	87	1735
48	87	1706
49	88	1676
50	88	1648
51	88	1621
52	89	1594
53	89	1570
54	90	1548
55	90	1524
56	90	1502
57	91	1479
58	91	1456
59	91	1436
60	91	1413
61	91	1390
62	92	1372
63	92	1358
64	93	1344
65	93	1330
66	94	1321
67	95	1306
68	95	1290
69	95	1275
70	96	1259
71	96	1245
72	97	1233
73	97	1220
74	97	1208
75	98	1195
76	98	1181
77	98	1166
78	99	1157
79	99	1148
80	101	1146
81	101	1134
82	101	1125
83	102	1115
84	102	1105
85	103	1094
86	103	1084
87	103	1072
88	103	1064
89	104	1055
90	104	1046
91	105	1038
92	105	1029
93	105	1020
94	106	1012
95	106	1004
96	107	997
97	107	988
98	107	980
99	108	973
100	108	965
101	108	955
102	108	948
103	109	943
104	110	937
105	111	936
106	111	930
107	111	923
108	112	916
109	112	910
110	112	903
111	113	897
112	113	891
113	113	885
114	114	879
115	115	877
116	115	871
117	115	865
118	116	861
119	116	856
120	117	850
121	117	845
122	117	840
123	118	834
124	119	833
125	119	829
126	120	825
127	120	821
128	121	817
129	121	812
130	121	807
131	122	803
132	122	798
133	122	793
134	123	789
135	123	784
136	123	781
137	124	776
138	124	772
139	124	767
140	125	763
141	125	759
142	126	755
143	126	754
144	127	753
145	128	749
146	128	745
147	128	741
148	129	740
149	129	736
150	130	732
151	130	728
152	130	724
153	131	720
154	131	717
155	132	714
156	132	710
157	132	708
158	133	704
159	133	701
160	133	697
161	134	694
162	134	690
163	134	687
164	135	684
165	135	681
166	136	678
167	136	676
168	136	673
169	137	670
170	137	668
171	138	665
172	138	662
173	138	659
174	139	656
175	139	653
176	139	650
177	140	649
178	141	647
179	141	645
180	142	642
181	142	639
182	142	637
183	143	634
184	143	632
185	144	631
186	144	628
187	144	625
188	145	623
189	145	620
190	145	618
191	146	615
192	146	612
193	146	610
194	147	608
195	147	606
196	148	604
197	148	601
198	148	599
199	149	597
200	150	597
201	150	595
202	151	593
203	151	591
204	152	590
205	152	588
206	153	586
207	153	584
208	153	582
209	154	580
210	154	579
211	155	577
212	156	576
213	156	575
214	156	572
215	157	571
216	157	569
217	158	568
218	158	566
219	159	565
220	159	563
221	160	561
222	160	560
223	161	557
224	161	555
225	161	553
226	162	553
227	162	551
228	163	551
229	163	549
230	164	546
231	164	544
232	164	542
233	165	540
234	165	539
235	166	537
236	166	537
237	167	535
238	167	533
239	167	531
240	168	529
241	168	528
242	168	526
243	169	524
244	169	522
245	170	522
246	170	520
247	171	518
248	171	516
249	172	517
250	172	516
251	173	514
252	173	512
253	173	511
254	174	509
255	174	507
256	175	506
257	175	504
258	175	502
259	175	500
260	176	499
261	176	497
262	176	495
263	177	493
264	177	492
265	177	490
266	178	489
267	179	489
268	179	487
269	179	485
270	180	484
271	180	482
272	180	480
273	180	479
274	181	477
275	181	476
276	181	474
277	182	473
278	182	472
279	183	471
280	183	469
281	183	468
282	184	466
283	184	465
284	184	463
285	185	462
286	185	460
287	185	459
288	186	457
289	186	457
290	187	456
291	187	455
292	188	454
293	188	452
294	188	451
295	189	450
296	189	448
297	189	447
298	190	445
299	190	444
300	190	443
301	191	441
302	191	440
303	191	438
304	192	437
305	192	436
306	192	435
307	193	434
308	193	432
309	193	431
310	194	430
311	194	428
312	195	428
313	195	427
314	195	426
315	196	424
316	197	424
317	197	423
318	197	422
319	198	421
320	198	420
321	199	419
322	199	418
323	201	419
324	201	418
325	201	417
326	202	416
327	202	415
328	202	413
329	203	412
330	203	411
331	203	410
332	204	409
333	204	407
334	205	408
335	206	407
336	206	405
337	206	404
338	206	403
339	207	402
340	207	400
341	207	399
342	208	399
343	209	398
344	209	397
345	209	396
346	210	395
347	210	394
348	211	393
349	211	392
350	211	391
351	212	390
352	212	389
353	212	388
354	213	387
355	213	385
356	213	384
357	213	383
358	214	382
359	214	381
360	215	380
361	215	379
362	215	378
363	216	377
364	216	376
365	217	376
366	217	375
367	217	373
368	218	372
369	218	371
370	218	370
371	219	369
372	220	369
373	220	368
374	220	367
375	220	366
376	221	365
377	221	364
378	222	363
379	222	362
380	222	361
381	222	360
382	223	359
383	223	358
384	224	358
385	224	357
386	225	356
387	225	355
388	225	354
389	225	353
390	226	352
391	226	351
392	226	350
393	227	349
394	227	348
395	227	347
396	228	346
397	228	345
398	228	344
399	228	343
400	229	342
401	229	341
402	229	340
403	229	339
404	230	338
405	230	337
406	230	336
407	231	335
408	231	334
